Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
213	Eugenia rottleriana	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2007.9699337
214	Nepeta coerulescens	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/22311866.2021.1887762
215	Nepeta coerulescens	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/22311866.2021.1887762
216	Pittosporum neelgherrense	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2008.9700035
217	Pittosporum neelgherrense	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2008.9700035
218	Meistera cannicarpa	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/10412905.2006.9699379
219	Amomum hypoleucum	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2007.9699280
220	Amomum hypoleucum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2007.9699280
221	Ligularia amplexicaulis	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2018.1427636
222	Nepeta erecta	aerial part	aerial part	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/14786419.2010.531393
223	Neolitsea foliosa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2007.9699962
224	Alpinia oceanica	flower	flower	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/10412905.2010.9700270
225	Alpinia oceanica	aerial part	aerial part	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/10412905.2010.9700270
226	Alpinia oceanica	flower	flower	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/10412905.2010.9700270
227	Alpinia oceanica	aerial part	aerial part	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/10412905.2010.9700270
228	Pseudocaryopteris foetida	leaf	leaf	antioxidant activity	C1148564	D000975		http://op.niscpr.res.in/index.php/IJNPR/article/view/38172
229	Pseudocaryopteris foetida	stem	stem	antioxidant activity	C1148564	D000975		http://op.niscpr.res.in/index.php/IJNPR/article/view/38172
230	Pseudocaryopteris foetida	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		http://op.niscpr.res.in/index.php/IJNPR/article/view/38172
231	Pseudocaryopteris foetida	stem	stem	Anti-Inflammatory Agents	C0003209	D000893		http://op.niscpr.res.in/index.php/IJNPR/article/view/38172
