Sno	Plant name	Plant Part	Plant Subpart	Odor	Color	Reference
113	Piper nigrum	leaf	leaf	pleasant, aromatic, pine, medicinal		https://doi.org/10.1002/(SICI)1099-1026(199909/10)14:5<279::AID-FFJ821>3.0.CO;2-0
114	Cinnamomum tamala	leaf	leaf		Pale yellow	https://doi.org/10.1002/ffj.1236
115	Cinnamomum tamala	leaf	leaf	clove, pepper	Pale yellow	https://doi.org/10.1002/ffj.1236
116	Lagerstroemia speciosa	flower	flower		Pale yellow	https://www.rroij.com/open-access/essential-oils-composition-and-cytotoxic-effect-of-lagerstroemiaspeciosa-linn-flowers-.php?aid=82513#:~:text=speciosa%20flower%20oil%20contains%20the,and%201.9%25%20percentage%20of%20nootkatone.
117	Orthosiphon thymiflorus	leaf	leaf		Reddish orange	https://doi.org/10.1016/S2221-1691(12)60139-7
118	Cinnamomum impressinervium	leaf	leaf		Yellow, Yellow brown	https://doi.org/10.1080/10412905.1994.9698360
119	Artemisia stricta	aerial part	aerial part		Yellow	https://doi.org/10.1080/10412905.1992.9698124
120	Artemisia parviflora	aerial part	aerial part		Light yellow	https://doi.org/10.1080/10412905.1992.9698124
121	Micromeria biflora	aerial part	aerial part	pleasant, lemon		https://doi.org/10.1080/10412905.1997.9700709
122	Neolitsea fischeri	bark	bark	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2008.9700012
123	Neolitsea fischeri	leaf	leaf	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2008.9700012
124	Neolitsea fischeri	fruit	fruit		Pale brown	https://doi.org/10.1080/10412905.2008.9700012
125	Semenovia thomsonii	aerial part	aerial part		Light yellow	https://doi.org/10.1080/14786419.2011.557375
126	Paeonia emodi	root	root	strong, bitter almond		https://doi.org/10.1080/10412905.2015.1039664
127	Globba cernua	rhizome	rhizome	pleasant, root, herbal	Light brown	https://doi.org/10.1080/10412905.2009.9700110
128	Globba marantina	rhizome	rhizome	root, oily, medicinal	Pale yellow	https://doi.org/10.1080/10412905.2009.9700110
129	Globba sessiliflora	rhizome	rhizome	root, oily, medicinal, burnt	Brownish yellow	https://doi.org/10.1080/10412905.2009.9700110
130	Sphagneticola calendulacea	aerial part	aerial part		Pale yellow	https://doi.org/10.1080/10412905.2005.9698931
131	Neolitsea zeylanica	leaf	leaf		Light yellow	https://doi.org/10.1080/10412905.1992.9698018
132	Blumea axillaris	leaf	leaf	pleasant		https://pubmed.ncbi.nlm.nih.gov/18566831
133	Coccinia grandis	leaf	leaf		Light yellow	https://pubmed.ncbi.nlm.nih.gov/29062847
134	Celastrus paniculatus	seed	seed		Dark brown	https://doi.org/10.1016/j.indcrop.2014.07.025
135	Zingiber montanum	rhizome	rhizome		Yellowish	https://doi.org/10.1021/acs.jafc.1c00256
136	Clausena pentaphylla	leaf	leaf		Pale yellow	https://doi.org/10.1007/s10600-012-0416-9
137	Diospyros malabarica	fruit	fruit		Pale yellow	https://acta.pharmaceutica.farmaceut.org/materials/pdf/20702.html
138	Terminalia chebula	fruit	fruit		Pale yellow	https://doi.org/10.1002/cbdv.200900274
139	Limonia acidissima	leaf	leaf	pleasant	Colourless	https://doi.org/10.1007/s12088-010-0052-7
140	Pleurospermum angelicoides	root	root	pungent, spices	Pale yellow	https://doi.org/10.1080/0972060X.2020.1815592
141	Crotalaria ramosissima	flower	flower		Dark yellowish green	https://www.tsijournals.com/abstract/essential-oil-constituents-of-crotalaria-ramosissima-flowers-528.html
142	Mimosa pudica	leaf	leaf		Slight yellowish	https://doi.org/10.22159/ajpcr.2019.v12i3.29444
143	Boswellia ovalifoliolata	bark	bark		Green	https://doi.org/10.1007/s11676-017-0457-9
144	Boswellia ovalifoliolata	leaf	leaf		Yellow	https://doi.org/10.1007/s11676-017-0457-9
145	Momordica charantia	seed	seed		Pale brown	https://doi.org/10.1080/0972060X.2020.1741451
146	Cananga odorata	leaf	leaf		Pale yellow	https://doi.org/10.1080/0972060X.2021.1957023
147	Curcuma zedoaria	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.2005.9698821
148	Clausena anisata	leaf	leaf		Pale yellow	https://doi.org/10.1016/S1995-7645(10)60210-6
149	Blainvillea acmella	flower	flower		light greenish yellow	https://doi.org/10.1080/10412905.1993.9698310
150	Artemisia verlotiorum	aerial part	aerial part		Dark yellow	https://doi.org/10.1080/10412905.2006.9699164
151	Pogostemon heyneanus	leaf	leaf		Yellow	https://doi.org/10.1177/1934578X1000501228
152	Litsea glutinosa	fruit	fruit		Colourless	https://doi.org/10.1080/10412905.1996.9700687
153	Syzygium gardneri	leaf	leaf	mango	Colourless	https://doi.org/10.1080/10412905.2008.9699426
154	Bunium bulbocastanum	fruit	fruit	pleasant	Light yellow	https://doi.org/10.1002/jsfa.3824
155	Plectranthus hadiensis	seed	seed	sweet, herbal	Yellowish	https://doi.org/10.25258/phyto.v9i2.8140
156	Cinnamomum citriodorum	leaf	leaf	pleasant	Colourless	https://doi.org/10.1080/10412905.2012.728084
157	Plectranthus vettiveroides	root	root	strong, woody	Yellow	https://doi.org/10.1016/j.jep.2021.114048
158	Rhynchosia heynei	leaf	leaf	pleasant	Orange	https://doi.org/10.3109/13880200902991573
159	Meistera muricata	leaf	leaf	pleasant	Light yellow	https://dx.doi.org/10.1080/10412905.2006.9699154
160	Cullenia exarillata	leaf	leaf		Yellow	https://doi.org/10.1080/0972060X.2014.974078
161	Cullenia exarillata	bark	stem bark		Pale yellow	https://doi.org/10.1080/0972060X.2014.974078
162	Melicope lunu-ankenda	flower	flower		Light yellow	https://doi.org/10.1080/10412905.2006.9699141
163	Alpinia smithiae	leaf	leaf		Yellowish Green	https://pubmed.ncbi.nlm.nih.gov/11935900
164	Alpinia smithiae	rhizome	rhizome		Yellowish to brown	https://pubmed.ncbi.nlm.nih.gov/11935900
165	Hedychium larsenii	rhizome	rhizome	pleasant	Pale yellow	https://pubmed.ncbi.nlm.nih.gov/16375842
166	Citrus maxima	leaf	leaf	sweet, fresh	Pale yellowish	https://doi.org/10.22376/ijpbs.2017.8.2.p149-155
167	Ipomoea carnea	root	root	unpleasant	Yellowish	https://doi.org/10.2298/JSC140425082S
168	Ipomoea carnea	stem	stem	unpleasant	Yellowish	https://doi.org/10.2298/JSC140425082S
169	Tephrosia purpurea	root	root	unpleasant	Yellowish	https://doi.org/10.2298/JSC140425082S
170	Tephrosia purpurea	stem	stem	unpleasant	Yellowish	https://doi.org/10.2298/JSC140425082S
171	Decalepis hamiltonii	root	root	sweet aromatic		https://pubmed.ncbi.nlm.nih.gov/12009977
172	Ginkgo biloba	leaf	leaf		Light yellow	https://doi.org/10.5281/zenodo.5701031
173	Chonemorpha fragrans	flower	flower		Pale yellow	https://www.botanyjournals.com/archives/2021/vol6/issue2/6-2-107
